order_id,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,seller_zip_code_prefix,seller_city,seller_state,payment_sequential,payment_type,payment_installments,payment_value,review_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state,product_category_name_english,customer_lat,customer_lng,seller_lat,seller_lng,Delivery_Speed_Days,Delivery_Delay_Days
1042722433e7633a6a857a82dcb8d881,1,d94b74483f40a15c2f4678a59c429408,87142160b41353c4e5fca2360caf6f92,2017-08-15 16:30:14,10.0,15.1,21929d7523b4ca73af799eed3d218276,delivered,2017-08-08 16:26:41,2017-08-09 16:30:14,2017-08-11 12:00:55,2017-08-15 17:59:56,2017-08-30,eletronicos,58.0,705.0,1.0,200.0,20.0,10.0,20.0,90230,porto alegre,RS,1.0,credit_card,2.0,25.1,81c83d63e10832cf7d58a9ec5d80a978,4.0,,,2017-08-16 00:00:00,2017-08-17 12:03:23,53266a0e7b0a61e8e41f4e71db335a89,89440,irineopolis,SC,electronics,-26.2438077869753,-50.79739878403102,-30.008181567706295,-51.20130443913637,7.0647569444444445,-14.250046296296297
181a57ecc4c8bfa112c048f609e257bf,1,6f4f2bb136fd2d8e8229355d8fec6b67,06e5eefc71ec47ae763c5c6f8db7064f,2017-12-21 12:55:47,379.94,16.41,7dc0154535f86be3f1a41d736db8206c,delivered,2017-12-16 12:38:04,2017-12-16 12:55:47,2017-12-19 12:53:35,2017-12-21 16:18:02,2018-01-16,construcao_ferramentas_seguranca,60.0,2492.0,4.0,350.0,16.0,16.0,16.0,91350,porto alegre,RS,1.0,credit_card,8.0,396.35,977a8446621abbe5c5d57e4f648bba61,1.0,,,2017-12-22 00:00:00,2017-12-23 01:55:28,cbfbf68c40fe74cdfa98f5b92c55c01b,88140,santo amaro da imperatriz,SC,construction_tools_safety,-27.687414607255857,-48.771889137271614,-30.015528344866176,-51.162708252374614,5.15275462962963,-25.320810185185184
4a1c3af89657b2177e85765d4390ef46,1,45faac1ea8c173bb8c3e6cf23f5aac4e,6d803cb79cc31c41c4c789a75933b3c7,2018-04-08 21:10:29,59.9,14.51,f03b4ce360b0d79f411799cf275fb9c3,delivered,2018-04-02 20:58:58,2018-04-02 21:10:29,2018-04-03 20:54:23,2018-04-09 21:38:50,2018-04-18,esporte_lazer,45.0,2578.0,1.0,1325.0,24.0,24.0,20.0,14600,sao joaquim da barra,SP,1.0,credit_card,2.0,148.82,82ae43e0c9f5683ffced227d257dbbef,5.0,,,2018-04-10 00:00:00,2018-04-11 01:39:36,8d56bc0ef587bcbabca776198885ea99,14806,araraquara,SP,sports_leisure,-21.751257937325867,-48.15881579410835,-20.585751390105457,-47.863693188164746,7.027685185185185,-8.098032407407407
d72a8a7f89ec91dd2f7d1436be8645a6,1,99a4788cb24856965c36a24e339b6058,4a3ca9315b744ce9f8e9374361493884,2017-09-18 11:04:45,89.9,16.26,080ea580ebf890d1b95afdb8d7a5297e,delivered,2017-09-12 10:45:57,2017-09-12 11:05:15,2017-09-14 21:48:57,2017-09-20 19:15:17,2017-09-28,cama_mesa_banho,54.0,245.0,1.0,1383.0,50.0,10.0,40.0,14940,ibitinga,SP,1.0,credit_card,2.0,106.16,905f4ba2239be08d4783591e3687add8,1.0,,,2017-09-21 00:00:00,2017-09-22 10:21:15,36ab56c6d620321e2acaeabd24cb76db,4208,sao paulo,SP,bed_bath_table,-23.592775547444546,-46.601190643558255,-21.75732063771276,-48.82974353343716,8.353703703703705,-7.197719907407407
707366aec5103380c9d2bc6e503d4f66,1,0aabfb375647d9738ad0f7b4ea3653b1,37515688008a7a40ac93e3b2e4ab203f,2017-08-07 21:55:20,19.9,11.85,4b44972085bda435123999dab7212346,delivered,2017-08-01 21:23:27,2017-08-01 21:55:20,2017-08-10 21:14:25,2017-08-15 14:56:56,2017-08-21,consoles_games,49.0,100.0,4.0,150.0,16.0,12.0,12.0,17900,dracena,SP,1.0,credit_card,1.0,31.75,6d4d0c70e26478d04b534f6f7b6b7b73,3.0,,A capa entra justa no console.,2017-08-16 00:00:00,2017-08-18 12:40:46,b6d66f034c53af0aeaa276144f332291,2531,sao paulo,SP,consoles_games,-23.50093691036352,-46.65274170167209,-21.48639335970809,-51.533744143993836,13.731585648148148,-5.377129629629629
01c7b08f0c05952ce15edb928bb63d2d,1,edd087ed331c3ce178ec3489b9ecf117,1bb2bdb95f4841f1bba2c0d2cd83d3c9,2018-04-06 17:10:25,274.95,26.04,378b80aaccaaf259cfd1389b968e4bb2,delivered,2018-04-02 16:59:53,2018-04-02 17:10:25,2018-04-05 13:03:32,2018-04-18 18:56:38,2018-05-02,livros_tecnicos,55.0,2138.0,1.0,2450.0,20.0,30.0,22.0,1257,sao paulo,SP,1.0,credit_card,1.0,300.99,5e33269228033e7fbacbc9aa3936bb3e,5.0,,,2018-04-19 00:00:00,2018-04-22 01:26:41,19d49f41fb53c169a6ad94ff06b023b1,85884,medianeira,PR,books_technical,-25.29320167334103,-54.095134218967516,-23.54360983905432,-46.687838575110746,16.08107638888889,-13.210671296296296
7775f1a362c378b553296a6ac824ad0e,1,49e142d8098b20ff2dc9ec73cdd5afec,8f119a0aee85c0c8fc534629734e94fd,2017-10-26 08:49:19,36.0,14.1,f65cf41dc7566470b447e365bf24e831,delivered,2017-10-22 08:40:37,2017-10-22 08:49:19,2017-10-26 20:52:45,2017-11-03 18:27:49,2017-11-10,brinquedos,42.0,844.0,1.0,150.0,28.0,13.0,22.0,6440,barueri,SP,1.0,credit_card,3.0,50.1,03b90d79d2e3c02f33f3fa78f0f16068,5.0,,,2017-11-04 00:00:00,2017-11-05 13:25:06,93338aa66ca9b0b58aa1dbd31080f158,32280,contagem,MG,toys,-19.94732845763311,-44.05782869450705,-23.510921698357688,-46.859923485330704,12.407777777777778,-6.23068287037037
dff8b1ccb6e61a785f9fad1cd48df4af,2,9ecadb84c81da840dbf3564378b586e9,1025f0e2d44d7041d6cf58b6550e0bfa,2017-11-20 16:30:44,38.4,16.11,5b4dd015f14d47ede684c5cd40c338b2,delivered,2017-11-11 16:13:40,2017-11-11 16:30:50,2017-11-21 18:54:44,2017-11-29 16:18:55,2017-12-07,moveis_decoracao,41.0,789.0,1.0,950.0,20.0,35.0,20.0,3204,sao paulo,SP,1.0,credit_card,5.0,163.53,920392341e7e4614c0d991d24febd51f,4.0,,"Recebi os produtos, são iguais conforme a descrição, mas a cor dos pendentes veio errada...",2017-11-30 00:00:00,2017-12-01 14:45:07,4962136f755981b83b03f476e66eea7d,89117,gaspar,SC,furniture_decor,-26.85192667968571,-49.023382533933386,-23.59549859480055,-46.55972696351707,18.003645833333334,-7.320196759259259
cf2b1b5aa5205a5c2e895d05702ba9fd,1,0d0bc6cf9765ffe8b4d3103138c96cdd,179d859f51292aac5c10806a356f7af9,2018-08-14 16:10:20,17.49,7.39,bfd018af662649c8de5067e6564953c2,delivered,2018-08-10 16:02:36,2018-08-10 16:10:20,2018-08-14 14:20:00,2018-08-15 17:31:49,2018-08-15,eletronicos,60.0,436.0,1.0,200.0,19.0,13.0,17.0,9411,ribeirao pires,SP,1.0,credit_card,1.0,24.88,f904e1f4afb226f467c82f632c34d059,4.0,Entrega no prazo,"Controle funciona muito bem na minha TV
Todas as funções
Parabéns pelo trabalho",2018-08-16 00:00:00,2018-08-19 02:39:57,df4de4056ce6baf02cddbb9437a748a4,3820,sao paulo,SP,electronics,-23.495863087771465,-46.50308450815669,-23.718907865445058,-46.39471606155454,5.061956018518519,0.7304282407407408
31e919190f59dd6dde547000ab20a612,2,88dd63919fc9ab693803578a04a20209,7ddcbb64b5bc1ef36ca8c151f6ec77df,2017-08-10 06:43:35,34.99,25.63,f6e64070970103cd567436eb89a2ea55,delivered,2017-08-05 18:24:31,2017-08-06 06:43:35,2017-08-08 18:07:02,2017-08-23 18:53:45,2017-09-11,informatica_acessorios,58.0,395.0,1.0,217.0,16.0,14.0,14.0,4403,sao paulo,SP,1.0,boleto,1.0,121.24,0a1d3b5a82fb982d7327000f374dc07a,5.0,,"Entrega rápida, pra configurar o WiFi Repeater é complicado só com auxílio de um técnico!!!",2017-08-24 00:00:00,2017-08-28 21:31:01,1828417f59821953b154b31e45a02a38,63011,juazeiro do norte,CE,computers_accessories,-7.198652319088752,-39.31943287260665,-23.670543920073367,-46.66105567584753,18.020300925925927,-18.21267361111111
